pair,trips,toolong,average
31014to31212,84,1,777
31014to31213,30,0,973
31014to31214,41,0,1200
31014to31215,218,6,556
31014to31216,7,0,1089
31014to31217,3,0,1783
31014to31218,1,0,1702
31014to31219,19,0,1668
31014to31220,12,0,881
31014to31221,74,1,892
31014to31222,16,0,1225
31014to31223,18,0,1165
31014to31224,28,0,844
31014to31225,876,26,438
31014to31226,201,1,699
31014to31227,13,0,1120
31014to31228,74,0,1341
31014to31229,161,0,1072
31014to31230,13,0,1364
31014to31231,8,0,1322
31014to31232,72,0,1216
31014to31233,19,0,1116
31014to31234,166,0,945
31014to31235,5,0,1410
31014to31236,555,6,501
31014to31237,286,2,647
31014to31238,11,0,1300
31014to31239,59,0,1057
31014to31240,14,0,1298
31014to31241,56,0,1113
31014to31242,19,0,1007
